,Exclusion Code,D,G,Galaxy ID,m-M,err,D (Mpc),Method,REFCODE,SN ID,redshift (z),Hubble const.,Adopted LMC modulus,Date (Yr. - 1980),Notes
47,,37,23,UGC 12894,29.64,,8.47,Tully-Fisher,2013AJ....145..101K,,,,,33,
297,R,258,125,WLM,25.88,,1.5,Tully-Fisher,2006sf2a.conf..365V,,,,,26,LEDA [April 2006]
694,,577,260,FGC 0001,32.7,,34.7,Tully-Fisher,2000BSAO...50....5K,,,,,20,
695,,578,260,FGC 0001,33.19,,43.5,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
696,,579,260,FGC 0001,33.21,,43.9,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
697,,580,260,FGC 0001,33.24,,44.5,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
873,,725,348,ESO 409-IG 015,29.43,,7.69,Tully-Fisher,2013AJ....145..101K,,,,,33,
879,,731,353,FGCE 0006,33.92,,60.8,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
880,,732,353,FGCE 0006,33.94,,61.3,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
881,,733,353,FGCE 0006,33.95,,61.6,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
882,,734,353,FGCE 0006,34.04,,64.4,Tully-Fisher,2000BSAO...50....5K,,,,,20,
1038,,854,418,UGC 00047,31.63,,21.2,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
1039,,855,418,UGC 00047,31.65,,21.4,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
1040,,856,418,UGC 00047,31.69,,21.8,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
1262,,1028,491,UGC 00064,29.91,,9.59,Tully-Fisher,2013AJ....145..101K,,,,,33,
1343,,1095,517,ESO 349- G 031,28.06,,4.1,Tully-Fisher,2003A&A...404...93K,,,,,23,
1908,,1577,673,AM 0008-324 NED02,33.72,,55.4,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
1909,,1578,673,AM 0008-324 NED02,33.76,,56.4,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
1910,,1579,673,AM 0008-324 NED02,33.76,,56.5,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
2262,,1831,789,FGC 0023,35.13,,106.0,Tully-Fisher,2000BSAO...50....5K,,,,,20,
2667,,2168,948,ESO 350- G 005,35.21,,110.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
2668,,2169,948,ESO 350- G 005,35.22,,111.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
2669,,2170,948,ESO 350- G 005,35.24,,112.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
2670,,2171,948,ESO 350- G 005,35.26,,113.0,Tully-Fisher,2000BSAO...50....5K,,,,,20,
3120,,2545,1138,FGC 0031,33.48,,49.6,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
3121,,2546,1138,FGC 0031,33.5,,50.2,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
3122,,2547,1138,FGC 0031,33.52,,50.5,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
3123,,2548,1138,FGC 0031,33.57,,51.9,Tully-Fisher,2000BSAO...50....5K,,,,,20,
3573,,2917,1282,FGC 0036,34.45,,77.6,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
3574,,2918,1282,FGC 0036,34.47,,78.2,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
3575,,2919,1282,FGC 0036,34.48,,78.8,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
3594,,2936,1286,UGC 00211,34.15,,67.6,Tully-Fisher,2000BSAO...50....5K,,,,,20,
3595,,2937,1286,UGC 00211,34.42,,76.6,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
3596,,2938,1286,UGC 00211,34.43,,77.1,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
3597,,2939,1286,UGC 00211,34.45,,77.6,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
3705,,3021,1331,ESO 350- G 012,34.9,,95.6,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
3706,,3022,1331,ESO 350- G 012,34.93,,96.7,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
3707,,3023,1331,ESO 350- G 012,34.94,,97.4,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
3708,,3024,1331,ESO 350- G 012,34.97,,98.8,Tully-Fisher,2000BSAO...50....5K,,,,,20,
3726,,3039,1345,FGC 0040,34.67,,86.0,Tully-Fisher,2000BSAO...50....5K,,,,,20,
3727,,3040,1345,FGC 0040,34.78,,90.4,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
3728,,3041,1345,FGC 0040,34.79,,90.6,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
3729,,3042,1345,FGC 0040,34.79,,90.8,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
3732,,3045,1348,UGC 00222,34.69,,86.7,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
3733,,3046,1348,UGC 00222,34.7,,87.1,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
3734,,3047,1348,UGC 00222,34.71,,87.3,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
3735,,3048,1348,UGC 00222,34.76,,89.6,Tully-Fisher,2000BSAO...50....5K,,,,,20,
3861,,3138,1392,NGC 0099,32.32,,29.1,Tully-Fisher,1984A&AS...56..381B,,,103.0,,4,Diameter
4208,,3392,1498,FGC 0045,33.01,,40.0,Tully-Fisher,2000BSAO...50....5K,,,,,20,
4209,,3393,1498,FGC 0045,33.62,,52.9,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
4210,,3394,1498,FGC 0045,33.63,,53.2,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
4211,,3395,1498,FGC 0045,33.63,,53.3,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
4740,,3799,1661,NGC 0125,34.02,,63.7,Tully-Fisher,1984A&AS...56..381B,,,103.0,,4,Diameter
5172,,4139,1801,ESO 473- G 024,29.98,,9.91,Tully-Fisher,2013AJ....145..101K,,,,,33,
6343,,5117,2128,FGC 0068,35.51,,126.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
6344,,5118,2128,FGC 0068,35.51,,127.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
6345,,5119,2128,FGC 0068,35.51,,127.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
6346,,5120,2128,FGC 0068,35.62,,133.0,Tully-Fisher,2000BSAO...50....5K,,,,,20,
6553,,5287,2187,NGC 0178,28.34,,4.66,Tully-Fisher,1984A&AS...56..381B,,,103.0,,4,B
6554,,5288,2187,NGC 0178,28.44,,4.88,Tully-Fisher,1984A&AS...56..381B,,,103.0,,4,Mean of B mag and Diameter TF relation
6555,,5289,2187,NGC 0178,28.63,,5.32,Tully-Fisher,1984A&AS...56..381B,,,103.0,,4,Diameter
6610,,5336,2204,FGC 0069,35.97,,156.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
6611,,5337,2204,FGC 0069,35.99,,158.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
6612,,5338,2204,FGC 0069,36.0,,159.0,Tully-Fisher,2000BSAO...50....5K,,,,,20,
6613,,5339,2204,FGC 0069,36.01,,159.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
7195,,5844,2420,FGC 0083,34.08,,65.4,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
7196,,5845,2420,FGC 0083,34.08,,65.6,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
7197,,5846,2420,FGC 0083,34.09,,65.8,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
7198,,5847,2420,FGC 0083,34.09,,65.9,Tully-Fisher,2000BSAO...50....5K,,,,,20,
7200,,5849,2422,IC 0043,32.53,,32.1,Tully-Fisher,1984A&AS...56..381B,,,103.0,,4,Diameter
7285,R,5929,2443,MESSIER 032,25.6,,1.32,Tully-Fisher,2006sf2a.conf..365V,,,,,26,LEDA [April 2006]
8217,,6634,2581,FGC 0084,34.49,,79.1,Tully-Fisher,2000BSAO...50....5K,,,,,20,
8218,,6635,2581,FGC 0084,35.5,,126.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
8219,,6636,2581,FGC 0084,35.51,,126.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
8220,,6637,2581,FGC 0084,35.51,,127.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
8385,,6757,2642,NGC 0244,31.93,,24.3,Tully-Fisher,1984A&AS...56..381B,,,103.0,,4,B
8386,,6758,2642,NGC 0244,31.96,,24.7,Tully-Fisher,1984A&AS...56..381B,,,103.0,,4,Mean of B mag and Diameter TF relation
8387,,6759,2642,NGC 0244,32.03,,25.5,Tully-Fisher,1984A&AS...56..381B,,,103.0,,4,Diameter
9013,,7277,2852,ESO 295- G 007,32.93,,38.6,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
9014,,7278,2852,ESO 295- G 007,32.96,,39.1,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
9015,,7279,2852,ESO 295- G 007,32.97,,39.3,Tully-Fisher,2000BSAO...50....5K,,,,,20,
9016,,7280,2852,ESO 295- G 007,32.99,,39.7,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
9028,,7291,2863,NGC 0262,31.66,,21.5,Tully-Fisher,1984A&AS...56..381B,,,103.0,,4,Diameter
9317,,7522,2953,FGC 0093,35.93,,153.0,Tully-Fisher,2000BSAO...50....5K,,,,,20,
9318,,7523,2953,FGC 0093,35.93,,153.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
9319,,7524,2953,FGC 0093,35.96,,156.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
9320,,7525,2953,FGC 0093,35.98,,157.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
9338,,7539,2961,FGC 0094,35.2,,110.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
9339,,7540,2961,FGC 0094,35.22,,111.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
9340,,7541,2961,FGC 0094,35.24,,111.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
9341,,7542,2961,FGC 0094,35.27,,113.0,Tully-Fisher,2000BSAO...50....5K,,,,,20,
10037,R,8187,3080,SMC,19.66,,0.086,Tully-Fisher,2006sf2a.conf..365V,,,,,26,LEDA [April 2006]
33065,,19720,3090,FGC 0100,35.27,,113.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
33066,,19721,3090,FGC 0100,35.27,,113.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
33067,,19722,3090,FGC 0100,35.29,,114.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
33068,,19723,3090,FGC 0100,35.31,,116.0,Tully-Fisher,2000BSAO...50....5K,,,,,20,
33198,,19840,3137,FGC 0104,35.9,,151.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
33199,,19841,3137,FGC 0104,35.91,,152.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
33200,,19842,3137,FGC 0104,35.91,,152.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
33201,,19843,3137,FGC 0104,36.14,,169.0,Tully-Fisher,2000BSAO...50....5K,,,,,20,
34078,,20587,3449,ESO 243- G 016,34.38,,75.2,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
34079,,20588,3449,ESO 243- G 016,34.41,,76.1,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
34080,,20589,3449,ESO 243- G 016,34.41,,76.2,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
34081,,20590,3449,ESO 243- G 016,34.46,,78.0,Tully-Fisher,2000BSAO...50....5K,,,,,20,
34913,,21314,3767,NGC 0337A,27.05,,2.57,Tully-Fisher,1985A&AS...59...43B,,,103.0,,5,Diameter
35304,,21606,3896,UGC 00653,34.88,,94.4,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
35305,,21607,3896,UGC 00653,34.89,,95.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
35306,,21608,3896,UGC 00653,34.9,,95.7,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
35307,,21609,3896,UGC 00653,34.93,,96.7,Tully-Fisher,2000BSAO...50....5K,,,,,20,
36435,,22501,4233,AM 0106-382,29.57,,8.2,Tully-Fisher,2013AJ....145..101K,,,,,33,
36944,,22874,4392,FGC 0129,34.32,,73.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
36945,,22875,4392,FGC 0129,34.36,,74.4,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
36946,,22876,4392,FGC 0129,34.36,,74.5,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
36947,,22877,4392,FGC 0129,34.41,,76.2,Tully-Fisher,2000BSAO...50....5K,,,,,20,
38618,,24211,4985,FGC 0147,34.24,,70.6,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
38619,,24212,4985,FGC 0147,34.26,,71.3,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
38620,,24213,4985,FGC 0147,34.27,,71.4,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
38621,,24214,4985,FGC 0147,34.32,,73.2,Tully-Fisher,2000BSAO...50....5K,,,,,20,
38959,,24504,5119,UGC 00876,34.75,,89.3,Tully-Fisher,2000BSAO...50....5K,,,,,20,
38960,,24505,5119,UGC 00876,34.78,,90.6,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
38961,,24506,5119,UGC 00876,34.79,,90.8,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
38962,,24507,5119,UGC 00876,34.79,,90.9,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
39657,,25063,5314,FGC 0157,35.68,,137.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
39658,,25064,5314,FGC 0157,35.7,,138.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
39659,,25065,5314,FGC 0157,35.73,,140.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
39660,,25066,5314,FGC 0157,35.76,,142.0,Tully-Fisher,2000BSAO...50....5K,,,,,20,
39769,,25159,5359,FGC 0159,32.81,,36.5,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
39770,,25160,5359,FGC 0159,32.83,,36.9,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
39771,,25161,5359,FGC 0159,32.87,,37.5,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
39772,,25162,5359,FGC 0159,32.92,,38.3,Tully-Fisher,2000BSAO...50....5K,,,,,20,
40013,,25378,5426,UGC 00971,33.85,,59.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
40014,,25379,5426,UGC 00971,33.86,,59.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
40015,,25380,5426,UGC 00971,33.86,,59.2,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
41869,,26924,5954,SDSS J0133+1342,32.89,,37.8,Tully-Fisher,2014A&A...562A..49M,,,,,34,
42045,,27066,6012,FGC 0173,33.87,,59.4,Tully-Fisher,2000BSAO...50....5K,,,,,20,
42046,,27067,6012,FGC 0173,34.02,,63.6,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
42047,,27068,6012,FGC 0173,34.04,,64.2,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
42048,,27069,6012,FGC 0173,34.04,,64.3,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
42237,,27221,6097,UGC 01146,34.32,,73.1,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
42238,,27222,6097,UGC 01146,34.33,,73.5,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
42239,,27223,6097,UGC 01146,34.34,,73.9,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
42723,,27620,6263,MCG -02-05-030,34.25,,70.9,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
42724,,27621,6263,MCG -02-05-030,34.27,,71.6,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
42725,,27622,6263,MCG -02-05-030,34.28,,71.6,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
42726,,27623,6263,MCG -02-05-030,34.34,,73.8,Tully-Fisher,2000BSAO...50....5K,,,,,20,
42844,,27715,6311,UGC 01176,24.1,,0.6609999999999999,Tully-Fisher,1984A&AS...56..381B,,,103.0,,4,Diameter
44416,,28971,6873,FGC 0196,34.21,,69.6,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
44417,,28972,6873,FGC 0196,34.24,,70.3,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
44418,,28973,6873,FGC 0196,34.24,,70.4,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
44419,,28974,6873,FGC 0196,34.3,,72.5,Tully-Fisher,2000BSAO...50....5K,,,,,20,
44804,,29298,6976,IC 1738,34.41,,76.2,Tully-Fisher,1984A&AS...56..381B,,,103.0,,4,Diameter
45238,,29672,7117,FGC 0202,31.14,,16.9,Tully-Fisher,2000BSAO...50....5K,,,,,20,
45239,,29673,7117,FGC 0202,31.96,,24.7,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
45240,,29674,7117,FGC 0202,31.99,,25.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
45241,,29675,7117,FGC 0202,32.02,,25.3,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
45295,,29714,7142,FGC 0205,34.49,,79.2,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
45296,,29715,7142,FGC 0205,34.52,,80.1,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
45297,,29716,7142,FGC 0205,34.53,,80.4,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
45298,,29717,7142,FGC 0205,34.58,,82.4,Tully-Fisher,2000BSAO...50....5K,,,,,20,
45425,,29818,7205,IC 1746,33.48,,49.7,Tully-Fisher,1984A&AS...56..381B,,,103.0,,4,Diameter
45605,,29970,7282,FGC 0209,35.32,,116.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
45606,,29971,7282,FGC 0209,35.33,,117.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
45607,,29972,7282,FGC 0209,35.35,,117.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
45608,,29973,7282,FGC 0209,35.36,,118.0,Tully-Fisher,2000BSAO...50....5K,,,,,20,
46274,,30527,7479,UGC 01452,33.74,,56.0,Tully-Fisher,2000BSAO...50....5K,,,,,20,
46275,,30528,7479,UGC 01452,33.78,,57.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
46276,,30529,7479,UGC 01452,33.79,,57.2,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
46277,,30530,7479,UGC 01452,33.79,,57.4,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
46668,,30842,7578,UGC 01484,34.28,,71.9,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
46669,,30843,7578,UGC 01484,34.31,,72.6,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
46670,,30844,7578,UGC 01484,34.31,,72.9,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
46671,,30845,7578,UGC 01484,34.35,,74.3,Tully-Fisher,2000BSAO...50....5K,,,,,20,
47407,,31447,7838,UGC 01575,33.98,,62.4,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
47408,,31448,7838,UGC 01575,33.98,,62.4,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
47409,,31449,7838,UGC 01575,33.98,,62.6,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
47410,,31450,7838,UGC 01575,34.21,,69.5,Tully-Fisher,2000BSAO...50....5K,,,,,20,
47681,,31658,7907,FGC 0242,33.75,,56.4,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
47682,,31659,7907,FGC 0242,33.78,,57.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
47683,,31660,7907,FGC 0242,33.79,,57.2,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
47684,,31661,7907,FGC 0242,33.86,,59.2,Tully-Fisher,2000BSAO...50....5K,,,,,20,
47817,,31758,7949,FGC 0245,34.54,,80.9,Tully-Fisher,2000BSAO...50....5K,,,,,20,
48719,,32427,8178,UGC 01677,32.92,,38.4,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
48720,,32428,8178,UGC 01677,32.95,,38.9,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
48721,,32429,8178,UGC 01677,32.96,,39.2,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
48722,,32430,8178,UGC 01677,33.02,,40.3,Tully-Fisher,2000BSAO...50....5K,,,,,20,
49146,,32778,8329,UGC 01714,33.32,,46.1,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
49147,,32779,8329,UGC 01714,33.33,,46.3,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
49148,,32780,8329,UGC 01714,33.33,,46.4,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
49149,,32781,8329,UGC 01714,33.41,,48.1,Tully-Fisher,2000BSAO...50....5K,,,,,20,
49255,,32864,8372,NGC 0863,34.7,,87.1,Tully-Fisher,1984A&AS...56..381B,,,103.0,,4,Diameter
49689,,33191,8472,FGC 0271,35.48,,125.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
49690,,33192,8472,FGC 0271,35.51,,126.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
49691,,33193,8472,FGC 0271,35.52,,127.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
49692,,33194,8472,FGC 0271,35.57,,130.0,Tully-Fisher,2000BSAO...50....5K,,,,,20,
49739,,33226,8492,KUG 0215-070,32.6,,33.1,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
49740,,33227,8492,KUG 0215-070,32.63,,33.5,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
49741,,33228,8492,KUG 0215-070,32.64,,33.8,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
49742,,33229,8492,KUG 0215-070,32.72,,34.9,Tully-Fisher,2000BSAO...50....5K,,,,,20,
50117,,33508,8582,FGC 0277,34.63,,84.5,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
50118,,33509,8582,FGC 0277,34.64,,84.8,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
50119,,33510,8582,FGC 0277,34.64,,84.9,Tully-Fisher,2000BSAO...50....5K,,,,,20,
50120,,33511,8582,FGC 0277,34.65,,85.1,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
50257,,33614,8620,ESO 081- G 007,32.15,,26.9,Tully-Fisher,2000BSAO...50....5K,,,,,20,
50373,,33717,8645,FGC 0282,33.9,,60.2,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
50374,,33718,8645,FGC 0282,33.91,,60.7,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
50375,,33719,8645,FGC 0282,33.93,,61.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
50376,,33720,8645,FGC 0282,33.97,,62.3,Tully-Fisher,2000BSAO...50....5K,,,,,20,
50556,,33883,8697,FGC 0284,34.39,,75.5,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
50557,,33884,8697,FGC 0284,34.39,,75.7,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
50558,,33885,8697,FGC 0284,34.4,,76.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
50559,,33886,8697,FGC 0284,34.41,,76.2,Tully-Fisher,2000BSAO...50....5K,,,,,20,
50986,,34170,8780,UGC 01856,33.04,,40.5,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
50987,,34171,8780,UGC 01856,33.05,,40.7,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
50988,,34172,8780,UGC 01856,33.05,,40.8,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
50989,,34173,8780,UGC 01856,33.18,,43.3,Tully-Fisher,2000BSAO...50....5K,,,,,20,
51216,,34311,8819,UGC 01870,36.33,,185.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
51217,,34312,8819,UGC 01870,36.34,,185.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
51218,,34313,8819,UGC 01870,36.34,,186.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
51219,,34314,8819,UGC 01870,36.5,,199.0,Tully-Fisher,2000BSAO...50....5K,,,,,20,
51355,,34399,8843,NGC 0906,33.74,,56.0,Tully-Fisher,1984A&AS...56..381B,,,103.0,,4,Diameter
