,Galaxy ID,meas,H (Mpc),D (Mpc),P (Mpc),Q (Mpc),M (Mpc),Dmin (Mpc),Dmax (Mpc)
79,SDSS-II SN 19338,2,49.21328647521642,973.3669072716443,107.31609088497012,107.31609088497012,104.01480110787618,915.6330049344091,1030.3464445044833
80,NGC 7828,3,10.053858029953016,87.23435948125953,10.101035186698674,11.65593498220783,12.253895503989176,77.95933880853805,99.04628654913412
81,AGC 748778,2,0.09663603815442463,6.341652023219948,0.13213440798146295,0.2306871504937414,0.15544355848498176,6.246987871772954,6.448512200664872
82,SDSS-II SN 04110,6,575.0344122599118,2075.0251231939137,83.2603095209939,461.0607415406667,255.29850960468792,1122.9138536555588,2270.539565545903
83,UGC 00050,7,16.086989157863588,104.50561160497185,6.306227770559927,9.432891577829697,13.246072963389263,90.6183578330438,122.49632952598897
84,UGC 00051,4,18.548436707884427,90.66638978059589,6.959185262489774,18.810535516015854,14.578939081093162,67.17212873444485,104.29902609803231
85,CGCG 408-033,3,7.1726339483986195,79.5666519010804,6.005381288713962,6.527180515841885,8.02211898189553,73.27756755983503,87.94569368040999
86,UGC 00053,3,10.408419932340308,105.57234989585409,8.414252984335052,9.651606613119446,11.137979054896139,94.40110427985985,114.9857454687276
87,ESO 193- G 026,4,18.91852473323389,117.80584370680074,8.664926880245655,14.931779043670348,16.330880477419242,102.17333294704171,140.2364118583685
88,UGC 00054,2,5.2000166865137745,73.82434383339796,11.337875619181602,11.337875619181602,10.872159803459647,67.80341371554593,79.77400886605331
89,KUG 0004+134,3,7.463137201738562,70.7851891618061,5.2386513128853025,8.474352684747412,8.068397995492575,65.33355295118513,80.55282101752152
90,NGC 0001,12,12.985145734149837,60.57674210091402,3.00581379345801,10.824549272380118,10.249608623559334,48.66509308689396,74.63514411183515
91,SDSS-II SN 15535,8,97.24959511640644,957.0703935953334,19.24368465197358,90.06046727502547,68.61869421060926,849.0667215097562,1041.6195489863755
92,NGC 0002,14,19.847226394785455,93.48487425574847,4.4278179643296935,11.208415543118589,14.375647445449568,76.72969576411539,116.18912708779786
93,NGC 7831,12,12.000188805717334,69.90715840499772,3.3198807003682633,6.6380577145497135,9.312547607725497,57.732729701107395,81.6036682961361
94,Andromeda XX,2,0.06020812115014734,0.7719925211887075,0.05363126361740363,0.058791089426822304,0.06942735204888316,0.7312999294702951,0.8055896569230635
95,SDSS-II SN 09194,2,36.92597563107848,1739.4117990504408,79.30744582825287,79.30744582825287,75.71905298417222,1695.6803922249999,1780.8001429964634
96,SDSS J000737.45-010106.8,2,29.009509427778124,1433.0996889140677,60.83160565687507,69.24811962276576,59.59475984868181,1399.599285108285,1467.3750612849717
97,SDSS-II SN 04236,2,28.74040385013902,1436.4171482836025,60.83160565687507,69.24811962276576,59.39596878734863,1402.987715988407,1469.2943001646859
98,SDSS-II SN 13452,6,544.0249336173346,2465.795803191774,106.28718448362042,604.1852525978312,401.6995806288476,1700.5652033527876,2786.7846955456544
99,NGC 7836,11,19.80725266351779,78.41140275700748,4.191741536574836,15.865527931754526,14.825003132516391,60.99401869271068,100.51151860904294
100,UGC 00066,4,13.648859854073182,99.49811250064667,10.037387414329208,12.170450725384615,13.87336363261915,86.60562087285908,114.91825845914977
101,UGC 00068,7,19.551301805881025,91.85638250809288,5.343055988737975,16.280541901634145,16.35414581926804,74.51755242718687,113.77474587884738
102,UGC 00069,7,9.303154018284491,50.27609358589086,2.8974685736998667,7.305438459391278,7.550246062932957,42.948346890780975,61.61523907450235
103,ESO 349- G 031,5,0.24843752322826615,3.163645036931547,0.044208700211041334,0.07357916696896107,0.09679740336640784,2.7926349325446633,3.258121032051362
104,ESO 111- G 014,6,14.115489333446178,80.6772533781203,5.98657568509906,9.074903191319688,11.296091317243212,69.21020470206888,97.90096632887631
105,NGC 0007,14,4.014724547705687,20.255490273711235,0.921277579711099,2.364508641513033,2.9930505067257194,16.773653185051476,24.839488135560014
106,FGC 0008,6,10.654281813185861,76.79154657135349,4.919199931666368,5.828015601702102,9.264240047704101,67.08736190544408,88.65079229028537
107,SDSS-II SN 18304,6,342.46322735586546,1081.0866271062512,35.47356733997044,167.90872700366975,100.4083952131828,472.6069536671474,1160.6662768272208
108,NGC 0010,14,19.821402350464247,85.10832798890662,4.031468194080355,16.410751482053602,15.190102700099848,67.41312287580344,106.92755683647549
109,SDSS-II SN 07851,2,22.908673177336098,1143.9180299708876,52.15716330959091,52.15716330959091,48.962220361103775,1115.826744499054,1170.456208670319
110,ESO 193- G 030,3,10.944793422675255,112.70817929548922,8.75866841187517,9.333482926571968,11.820678112473905,102.75454154965198,124.74145970867744
111,NGC 0011,5,9.260393198312494,56.44914551107561,5.245039913169577,7.623091294431728,8.415081382824756,48.138994297009155,67.08679340783867
112,NGC 0014,2,2.3863990832766735,9.25657909710872,0.5549781879063647,4.3787040455455015,2.4675315434647733,6.876674393415352,11.632655292352243
113,NGC 0013,12,10.808065816848842,61.45663997116723,3.0972775862229853,4.2880188670597095,8.140485824140102,51.80705278337261,73.39257179448533
114,UGC 00076,3,8.100527524765651,71.49407966077774,5.306812969721903,9.45486182321003,8.551314635297564,65.64365271079612,82.07941855040222
115,NGC 0009,4,8.694624375946423,41.56346702186451,3.904894304057721,8.067177511041432,7.061508353925474,34.92707426378399,52.75808985312338
116,NGC 0015,4,19.8402190243825,116.60162805033562,11.54173751103367,24.03076847789174,19.533042671410456,97.34299286845321,138.22044833975076
117,ESO 349- G 033,13,17.667610666096504,95.02026957546714,4.439053316989936,11.419512447946106,13.73312923943784,78.11354011985777,113.44800890166074
118,NGC 0016,6,11.08321204337805,33.79383299926482,3.475209141636678,9.717123399277916,7.363835902909236,26.089453729298725,48.22695192680812
119,UGC 00079,3,7.264032489454716,72.09579129274731,5.359884069784994,8.230136604032941,7.932056682849988,66.81664658748706,81.5749006533124
120,SDSS-II SN 14327,4,166.99489870398284,2737.511914578817,126.09588828273925,137.90071413161152,171.4293488066001,2568.939763538485,2916.1055020143613
121,SDSS-II SN 07056,2,37.19850100677645,932.2196499352851,81.76165837956646,81.76165837956646,77.08749629120392,888.740505093931,975.2549909192219
122,SDSS J000928.38+010916.0,2,76.62505028571957,2259.7772050299463,161.66224605628761,177.27496972695246,155.5183318455136,2171.2440869008933,2348.1630968032628
123,SN 2005hw,2,75.63389814093715,2259.683695625305,161.66224605628761,177.27496972695246,153.28242391341973,2171.9252949869833,2341.7403451130563
124,IC 1531,2,6.695371582955613,94.07621676104141,12.940584941587502,18.57509878439059,12.828396431294435,86.28786571316213,101.33780848645196
125,NGC 0022,7,19.20056366236387,118.97205938418448,7.235310670480383,12.42640415898548,16.00011388900873,102.70909939401614,141.33593055356118
126,IC 1532,10,7.764000238969526,27.460907832886626,1.5171730585973389,7.167352847719589,6.236736700013952,20.696637290720286,36.2970331912437
127,NGC 0023,18,15.65364727691853,53.063456753178734,1.889149127891735,15.021965878720422,10.625205810250455,35.41600039041432,66.89944423425473
128,SDSS-II SN 07654,6,469.560463404864,2208.07254134827,78.26695244023175,454.15414212739614,257.8129071063993,1474.0940758923664,2413.367081951474
129,NGC 0024,31,2.046710965915095,8.077433316670268,0.16523723353099984,2.261112276260777,1.400242764663619,6.057497268214129,10.144844156319346
130,UGC 00092,2,1.4256770615702978,14.226421980910015,2.792167938971647,3.7868059162650374,2.7460599303189777,12.589671737388745,15.794584889209021
131,UGC 00091,5,19.325943293378867,111.78781345997585,10.080924655823043,14.970995882479711,17.077596728296584,93.39217528684942,132.06251156588175
132,SDSS-II SN 19582,2,67.45189884360683,1293.636993520174,150.48334223332034,150.48334223332034,141.43221212807094,1207.822922173485,1368.8829564432483
133,SDSS-II SN 18374,6,273.3624715166191,1514.7617632963877,41.50049404813498,300.78155456113063,153.0708269636649,1086.231207393379,1635.3585364404646
134,AGC 101063,3,12.966831238654665,108.28327964985463,8.82818406662859,9.49647224182423,12.96246117398812,98.3763442022921,123.84759778663913
135,ESO 241- G 021,14,15.918958766340657,71.83304526017866,3.473075124737455,12.194595488447202,12.12388991107088,56.752350148486755,88.53665634223377
136,2MASX J00102166+0042360,3,147.96539418253107,1501.9175966741645,57.216304650659005,253.46925849967238,137.6704245386336,1284.3609189025826,1579.2680883831497
137,SDSS-II SN 03565,3,147.85828224910665,1504.75227246955,57.216304650659005,253.46925849967238,135.0345672633835,1285.4602955129199,1580.3750977834816
138,NGC 0026,12,13.754053512249198,65.38045572841531,3.101561360627734,13.705245716790337,10.121597351864512,51.85923388040249,79.20126964541349
139,UGC 00095,8,23.283415797165738,134.97846353491508,7.7652471760378985,17.034170648372413,18.946524690884583,110.34444508222454,156.66262052109093
140,SDSS-II SN 14531,2,93.67344196331143,1436.0108172779321,204.47424065219047,204.47424065219047,191.65101836002302,1327.089788823094,1540.5713800032545
141,NGC 0027,15,17.704542272779094,94.77271505650153,4.40537709950037,7.8733345268446495,13.220921362933568,78.34335514097342,113.53000650036314
142,2MASX J00103444+0611590,3,15.00024862062528,190.98685145439427,13.482065160867942,19.12859276106454,17.935233758587046,174.75559468735761,205.96397602100967
143,2dFGRS S839Z607,6,35.12890151665384,303.5253070296347,7.050881475357827,38.61837937626653,31.356685065987616,266.3229155767365,336.7319891514533
144,SN 1992au,5,27.518590656380653,312.55648762402046,9.337945786954396,35.68416156652835,25.597184029115645,284.9037395962125,340.3180589924586
145,NGC 0019,12,12.135021223266651,64.38954385008769,3.095072516863252,7.165056760208169,9.02881341593694,52.98645481068198,77.07035515683097
146,GALEXASC J001043.61+001207.6,4,118.25143384967187,1188.552413630426,34.8291555590136,154.28861477955633,115.8481057345767,1066.4890940591565,1302.7165228952927
147,SN 2006lj,4,119.7981533379217,1186.924995934893,34.8291555590136,154.28861477955633,116.34158360754054,1064.7008015958831,1303.9120387401865
148,NGC 0021,14,13.453768242904344,73.2989813263396,3.4436627381153597,7.2306590782530575,10.243300770949997,60.26075067536728,87.28714162938395
149,SDSS-II SN 13896,8,107.98442825854269,860.6779123375569,15.017250376369999,63.29770235107281,45.76965079499829,689.199575946248,905.4007679400016
150,UGC 00101,5,22.26107930176644,133.3770768285223,9.44145642900499,21.470867663687894,20.443189094248556,112.63485714493358,157.07331982518883
151,UGC 00102,4,15.58262574729084,110.29117007602714,11.144861514665575,14.183569136710961,15.878277615261503,95.2991329982541,127.55732594880196
152,ESO 349- G 038,8,17.46781306230814,100.3911540644038,5.855735379141289,15.345998611881054,14.563739058090455,81.9845946060295,117.0213705315442
153,UGC 00105,3,11.885496748742558,85.23994781674969,7.264093674376046,7.435978089791652,11.387976165579007,75.30872231038475,98.39305809132475
154,NGC 0036,8,11.7144305527259,70.9788393307243,4.201569948917837,6.544882862458624,9.514700713304759,60.53222635279058,83.74662885288201
155,SDSS J001124.57+004207.2,3,40.518063385500994,797.8404458598781,22.155724396747868,70.47181841858101,45.47275551929307,747.8325971843383,829.0828025147932
156,SN 2006jz,3,40.13041700400114,798.059430094495,22.155724396747868,70.47181841858101,44.45993174920708,747.7694407967508,828.8612540001287
157,ESO 293- G 045,8,5.162738030897362,26.677434913382317,1.731026155825152,4.2965341106009225,4.205093666592976,22.10309004067466,32.47678513205391
158,KUG 0008+275,3,12.669361848225634,128.1893512697422,10.172802691511896,11.219077933187094,13.656199098134667,115.56564995760623,140.74019918524294
159,UGC 00107,5,18.42631752954054,109.78840649240232,10.299331396685172,12.496019094017313,16.46307024156572,92.55349832555862,128.89169723902785
160,SDSS J001139.74-002454.1,3,48.6409697734091,983.4203016008196,27.4035302859503,78.70917285454134,49.99571632172579,919.6212801881212,1017.8695575600491
161,SDSS-II SN 08555,3,48.144115884525654,983.505918699444,27.4035302859503,78.70917285454134,49.812099256150844,919.6548042810388,1017.3054074345914
162,UGC 00108,7,23.88021602990298,143.30201835793451,8.447860100337198,18.26888064940523,19.435449753970637,121.0889134259701,168.49685007052653
163,UGC 00110,5,8.118081050892139,55.27309903291093,3.6992610000170005,4.728395041083631,6.625145639445569,48.30706266586411,64.0798594070819
164,SDSS-II SN 20171 HOST,2,32.968830315790235,1930.7412918462983,69.11600266645269,82.16445572851704,68.15494629667198,1890.5117547537238,1968.6857084466342
165,SDSS-II SN 20171,2,33.21571117532456,1930.4479493511549,69.11600266645269,82.16445572851704,66.60487102152872,1892.6572842225853,1967.0421006040306
166,IC 0003,2,4.781912812953122,72.16334080451377,10.895422186889098,11.071481701288144,10.234466963615414,66.212106807403,77.79954413448436
167,UGC 00111,7,11.116426949564906,70.67392531481174,4.213505618057081,6.1871003020829045,9.140408103818528,61.624648000671954,83.845001212897
168,KUG 0009+276A,5,54.32890114430059,178.23415336354168,9.897441601004141,53.18291476452218,51.8144954580975,110.53636939906916,221.28813824294997
169,CGCG 499-075,4,13.699555818960171,86.17747695779097,8.678299234121086,11.304104568204949,12.815555178119242,74.42965712926605,102.47385293167514
170,2MASX J00121162-1055413,2,6.908313423717167,96.32765416699105,15.009032204903649,16.02701090309748,14.751365786455438,87.68492356323927,104.11186701059925
171,UGC 00113,11,20.649705273619382,116.26424355186543,6.076874442155842,12.522267872790595,16.311362567559055,96.0127795785519,137.74706260950805
172,SDSS-II SN 20185,4,347.12821015169,954.464086969452,89.2595077697657,350.00456059320345,323.0785062314562,582.4581790078086,1284.9979140861578
173,SDSS-II SN 21388,4,440.02828524850537,3730.7687821870827,317.59426667920854,404.0145495658889,450.95083943629743,3303.9978198216204,4211.327333059181
174,SDSS-II SN 14463,2,21.17394942627391,570.9662410563395,46.464999437631135,46.464999437631135,44.13452666709766,545.8746419098655,594.9613570590338
175,SDSS-II SN 17433,4,81.16834679048067,1027.3720301836152,59.66056163614441,65.28431781832646,82.24124031678515,947.402553493736,1113.0840888757873
176,NGC 0041,6,14.573588475088286,79.77747645172367,5.553646124808838,10.285488024970807,12.176102656626247,64.56606089604938,93.4183970263927
177,SDSS J001259.96+001454.8,3,23.386234147804036,535.4869314718019,7.713013957748834,43.132208388906804,21.032166846607506,499.7887885786351,546.3902575062697
178,SN 2005hx,3,23.399582758620948,535.3785861462461,7.713013957748834,43.132208388906804,20.8499756739226,500.0639464270305,546.8182255872913
179,SDSS J001303.74-003712.9,3,142.48849411213732,1404.2865594356897,46.90651432414539,241.1463766769601,112.49851828145302,1182.21849893793,1465.2014257777143
180,SN 2005ii,3,142.2471041879449,1405.8121979218674,46.90651432414539,241.1463766769601,112.31133840591204,1183.102519395464,1467.3812500056881
181,NGC 0045 GROUP,2,0.7777142758131069,10.19203251630279,1.0561867769565452,1.500643714658856,1.2201530549988868,9.393155106055653,10.880961543471098
182,2MASX J00132078-0955213,2,8.346627126775171,113.27924194144009,17.71557310231921,20.76554237910193,17.09420852565831,103.45288763734737,123.07926564012452
183,MCG -01-01-052,4,14.816961894709461,75.27914752972767,8.28907325411839,16.98931443225842,13.938121676709459,58.75525598399646,89.27788289941019
184,SDSS J001342.87+003908.4,2,7.949941850717813,645.1468086694082,16.798709292771075,19.01484780870642,16.617904254678248,635.5738944454863,654.3047803431876
185,SN 2007kx,2,7.930398456795395,644.094366645883,16.798709292771075,19.01484780870642,16.3459168125453,634.8197868461801,653.617587612641
186,CGCG 499-081,10,24.247005792725638,118.07248008636016,6.722198903530944,16.35302932895184,18.398384835709006,92.87189789479454,141.06154072960786
187,UGC 00127,4,11.214922354598226,70.7993459028991,6.994270055422556,9.774325372161584,10.55182579189707,59.53621953602728,82.02813482777329
188,UGC 00132,2,1.5051313344855328,20.690077360396227,3.1694181250031885,3.1747348293065305,3.0399616586347187,18.955527324074797,22.349054290201874
189,NGC 0048,3,11.877333370969891,40.13763173225129,4.438587191428968,18.426849623480262,13.93679446732248,30.532460081721773,54.54443559460816
190,NGC 0045,18,2.8295370107006597,6.881553697909246,0.17417794115972146,1.1819426521413383,1.659276221676202,5.25207303172496,10.893163052639117
191,UGC 00135,2,4.095199890680086,72.36481169598005,6.261810725377881,6.614063993651235,6.7501773612841705,68.89686743625474,76.23533522195062
192,SDSS-II SN 21389,2,69.00914242695778,1717.7030623282594,150.8515204079847,150.8515204079847,142.7977168314128,1636.8008255226246,1796.3248969523452
193,ABELL 2744:[LBW2014] 14.1,2,25.306895459299444,4130.683021540737,26.928733181987315,80.78619954596041,39.90643053863573,4103.88950750641,4157.393761176179
194,ABELL 2744:[LBW2014] 21.1,2,19.938631960973858,4178.451713286296,17.299992660725856,49.53963986244474,27.38317077205682,4158.227912058981,4199.088522323461
195,ABELL 2744:[LBW2014] 04.1.1,2,20.592902486510514,3872.643082419343,17.505892440003176,17.505892440003176,23.028590011731865,3861.95263195387,3883.5046835198664
